OLN	uniprotID	SGD_id	length
YNL148C	P53904	S000005092	254
YBR110W	P16661	S000000314	449
YNL048W	P53954	S000004993	548
YNR030W	P53730	S000005313	551
YGL047W	P53178	S000003015	202
YBR070C	P38242	S000000274	237
YGL065C	P43636	S000003033	503
YBL082C	P38179	S000000178	458
YPL227C	P40350	S000006148	334
YOR002W	Q12001	S000005528	544
YBR243C	P07286	S000000447	448
YOR067C	P40351	S000005593	577
YNL219C	P53868	S000005163	555
YGL021W	P43633	S000002989	760
YBL009W	P32789	S000000105	676
YML086C	P54783	S000004551	526
YNL270C	P38971	S000005214	573
YOL130W	Q08269	S000005490	859
YFL050C	P43553	S000001844	858
YLR089C	P52893	S000004079	592
YDR111C	P52892	S000002518	507
YKR021W	P36117	S000001729	915
YJL084C	P47029	S000003620	1046
YGR225W	P50082	S000003457	593
YML035C	P15274	S000004498	810
YDR242W	P22580	S000002650	549
YBR211C	P38313	S000000415	324
YBR158W	P38285	S000000362	549
YGL156W	P22855	S000003124	1083
YJR047C	P19211	S000003808	157
YEL036C	P32629	S000000762	500
YKL047W	P36090	S000001530	516
YHR126C	P38832	S000001168	159
YPR128C	Q06497	S000006332	328
YPR180W	Q06624	S000006384	347
YCL050C	P16550	S000000555	321
YDR530C	P22108	S000002938	325
YNL172W	P53886	S000005116	1748
YDL008W	Q12157	S000002166	165
YLR127C	Q12440	S000004117	853
YDR118W	Q04601	S000002525	652
YOR249C	Q08683	S000005775	685
YLR102C	Q12107	S000004092	265
YBR151W	P38281	S000000355	316
YKL103C	P14904	S000001586	514
YKL157W	P32454	S000001640	952
YBR286W	P37302	S000000490	537
YHR113W	P38821	S000001155	490
YDR525W	Q04413	S000002933	109
YNL077W	P53940	S000005021	528
YJR005W	P27351	S000003765	700
YKL135C	P36000	S000001618	726
YBL037W	P38065	S000000133	1025
YPR029C	Q12028	S000006233	832
YPL195W	Q08951	S000006116	932
YGR261C	P46682	S000003493	809
YPL259C	Q00776	S000006180	475
YHL019C	P38700	S000001011	605
YBR288C	P38153	S000000492	483
YOL062C	Q99186	S000005423	491
YKL114C	P22936	S000001597	367
YBL019W	P38207	S000000115	520
YNL094W	P53933	S000005038	587
YIL040W	P40532	S000001302	138
YJL075C	P47036	S000003611	138
YLR170C	P35181	S000004160	156
YJR058C	Q00381	S000003819	147
YJL024C	P47064	S000003561	194
YML022W	P49435	S000004484	187
YDR441C	P36973	S000002849	181
YNL065W	P53943	S000005009	586
YPR192W	P0CD91	S000006396	305
YLL052C	P0CD90	S000003975	149
YBR149W	P38115	S000000353	344
YMR041C	Q04212	S000004644	335
YER036C	P40024	S000000838	610
YIL062C	P40518	S000001324	154
YLR370C	Q05933	S000004362	178
YKL013C	P33204	S000001496	171
YGL105W	P46672	S000003073	376
YNR035C	P53731	S000005318	342
YBR234C	P38328	S000000438	384
YHR013C	P07347	S000001055	238
YCR048W	P25628	S000000644	610
YNR019W	P53629	S000005302	642
YDL192W	P11076	S000002351	181
YDL137W	P19146	S000002296	181
YOR094W	P40994	S000005620	183
YOL058W	P22768	S000005419	420
YJL071W	P40360	S000003607	574
YJL088W	P05150	S000003624	338
YHR018C	P04076	S000001060	463
YER069W	Q01217	S000000871	863
YMR062C	Q04728	S000004666	441
YOL140W	P18544	S000005500	423
YMR042W	P07249	S000004645	177
YML099C	P05085	S000004565	880
YDR173C	P07250	S000002580	355
YDR376W	P48360	S000002784	493
YGL157W	P53111	S000003125	347
YNL020C	P53974	S000004965	638
YBR164C	P38116	S000000368	183
YPL051W	Q02804	S000005972	198
YHL040C	P38731	S000001032	627
YHL047C	P38724	S000001039	620
YDR380W	Q06408	S000002788	635
YDR127W	P08566	S000002534	1588
YGL148W	P28777	S000003116	376
YDR035W	P14843	S000002442	370
YBR249C	P32449	S000000453	370
YPR060C	P32178	S000006264	256
YGL202W	P53090	S000003170	500
YDR421W	Q04052	S000002829	950
YHR137W	P38840	S000001179	513
YDR106W	Q04549	S000002513	284
YHR129C	P38696	S000001171	384
YDL029W	P32381	S000002187	391
YJR065C	P47117	S000003826	449
YJL081C	P80428	S000003617	489
YNL059C	P53946	S000005004	755
YLR085C	Q12509	S000004075	438
YPR034W	Q12406	S000006238	477
YOR141C	Q12386	S000005667	881
YMR033W	Q05123	S000004636	467
YPR199C	Q06596	S000006403	294
YPR200C	Q06597	S000006404	130
YPR201W	Q06598	S000006405	404
YLR392C	P18634	S000004384	518
YLR154W-A	Q8TGM7	S000028675	61
YLR154W-E	Q8TGM5	S000028676	67
YGR068C	P53244	S000003300	586
YLR242C	Q06541	S000004232	321
YDR101C	Q03862	S000002508	593
YPR085C	Q06822	S000006289	443
YMR116C	P38011	S000004722	319
YOR058C	P50275	S000005584	885
YJL115W	P32447	S000003651	279
YDL197C	P32448	S000002356	525
YIL130W	P40467	S000001392	964
YJL170C	P46993	S000003706	209
YKL185W	P34233	S000001668	588
YMR119W	P54074	S000004725	624
YNL159C	P53895	S000005103	289
YNL008C	P53983	S000004953	676
YKL052C	P35734	S000001535	292
YGR097W	P48361	S000003329	1146
YDL088C	Q05166	S000002246	528
YPR145W	P49089	S000006349	572
YGR124W	P49090	S000003356	572
YDR321W	P38986	S000002729	381
YLR155C	P0CZ17	S000004145	362
YLR157C	P0CX77	S000004147	362
YLR158C	P0CX78	S000004148	362
YLR160C	P0CX79	S000004150	362
YPR093C	Q06834	S000006297	288
YBL069W	P35183	S000000165	429
YER101C	P39945	S000000903	430
YDR184C	Q04005	S000002592	294
YGL017W	P16639	S000002985	503
YOR377W	P40353	S000005904	525
YGR177C	P53296	S000003409	535
YLL042C	Q07879	S000003965	167
YPR049C	Q12527	S000006253	1178
YBR217W	P38316	S000000421	186
YPR185W	Q06628	S000006389	738
YBR128C	P38270	S000000332	344
YCR068W	P25641	S000000664	520
YMR159C	Q03818	S000004769	150
YLR423C	Q06410	S000004415	417
YFR021W	P43601	S000001917	500
YOL082W	P35193	S000005442	415
YGL180W	P53104	S000003148	897
YDL113C	Q07528	S000002271	640
YPL100W	Q02887	S000006021	496
YCL038C	P25568	S000000543	528
YLR431C	Q06671	S000004423	453
YLR189C	Q06321	S000004179	1198
YJL178C	P46989	S000003714	271
YPL166W	Q12092	S000006087	213
YNL242W	P53855	S000005186	1592
YDR022C	Q12421	S000002429	196
YIL146C	P40458	S000001408	529
YLR356W	Q06485	S000004348	197
YOL083W	Q12292	S000005443	412
YJL185C	P46983	S000003721	293
YLR211C	Q05789	S000004201	226
YLR312C	Q06159	S000004303	398
YNR007C	P40344	S000005290	310
YOR152C	Q99325	S000005678	256
YPL250C	Q12048	S000006171	136
YNL223W	P53867	S000005167	494
YPL149W	Q12380	S000006070	294
YHR171W	P38862	S000001214	630
YBL078C	P38182	S000000174	117
YDL149W	Q12142	S000002308	997
YPR026W	P48016	S000006230	1211
YMR301C	P40416	S000004916	690
YNR002C	P32907	S000005285	282
YDR384C	Q12359	S000002792	275
YBL099W	P07251	S000000195	545
YLR393W	P18496	S000004385	279
YNL315C	P32453	S000005259	318
YJL180C	P22135	S000003716	325
YLR295C	Q12349	S000004286	124
YPL271W	P21306	S000006192	62
YDL004W	Q12165	S000002162	160
YDR377W	Q06405	S000002785	101
YML081C-A	P81450	S000007247	59
YOL077W-A	P81451	S000007339	68
YJR121W	P00830	S000003882	511
YPR020W	Q12233	S000006224	115
YDR350C	P50273	S000002758	684
YNR020C	P53722	S000005303	227
YMR098C	Q03153	S000004704	612
YBR039W	P38077	S000000243	311
YPL078C	P05626	S000005999	244
YDR298C	P09457	S000002706	212
Q0085	P00854	S000007268	259
YKL016C	P30902	S000001499	174
Q0080	P00856	S000007267	48
YML116W	P13090	S000004584	542
YAL020C	P31386	S000000018	333
YNL259C	P38636	S000005203	73
YOR079C	Q12067	S000005605	313
YFL010W-A	P32450	S000001955	94
YKL004W	P36107	S000001487	401
YOR011W	Q08409	S000005537	1394
YLR114C	Q12500	S000004104	764
YOL078W	Q08236	S000005438	1176
YMR068W	Q04749	S000004672	426
YJR001W	P47082	S000003761	602
YEL064C	P39981	S000000790	480
YKL146W	P36062	S000001629	692
YNL101W	P50944	S000005045	713
YBL089W	P38176	S000000185	459
YER119C	P40074	S000000921	448
YIL088C	P40501	S000001350	490
YPR122W	P40851	S000006326	1208
YIL140W	P38928	S000001402	823
YIL124W	P40471	S000001386	297
YLL063C	Q12226	S000003986	474
YOR113W	P41696	S000005639	914
YGR224W	P50080	S000003456	613
YOR134W	Q12128	S000005660	409
YBR068C	P38084	S000000272	609
YDR046C	P41815	S000002453	604
YIL015W	P12630	S000001277	587
YKR099W	P22035	S000001807	811
YHR208W	P38891	S000001251	393
YJR148W	P47176	S000003909	376
YJL020C	P47068	S000003557	1157
YPL255W	Q12365	S000006176	385
YHR040W	P38772	S000001082	366
YMR237W	Q05029	S000004850	724
YKR027W	P36122	S000001735	765
YJL095W	Q01389	S000003631	1478
YER167W	P33306	S000000969	851
YDR361C	Q06338	S000002769	283
YDR375C	P32839	S000002783	456
YIL033C	P07278	S000001295	416
YLR399C	P35817	S000004391	686
YDL070W	Q07442	S000002228	638
YAL060W	P39714	S000000056	382
YAL061W	P39713	S000000057	417
YNL039W	P46678	S000004984	594
YOL164W	Q08347	S000005524	646
YBR200W	P29366	S000000404	551
YER155C	P39960	S000000957	2167
YPL115C	P32873	S000006036	1128
YPL161C	P39011	S000006082	633
YLR412W	Q06688	S000004404	274
YIL004C	P22804	S000001266	142
YPR176C	P20133	S000006380	325
YKR068C	P36149	S000001776	193
YJL031C	Q00618	S000003568	327
YML077W	Q03630	S000004542	159
YJR053W	P47113	S000003814	574
YOR198C	P38934	S000005724	470
YDR299W	Q06631	S000002707	534
YGR282C	P15703	S000003514	313
Q0110	P03873	S000007271	423
Q0115	Q9ZZW7	S000007272	517
Q0120	P03879	S000007273	638
YHR101C	P38813	S000001143	335
YCL029C	P11709	S000000534	440
YER016W	P40013	S000000818	344
YGR286C	P32451	S000003518	375
YNR058W	P50277	S000005341	480
YNR057C	P53630	S000005340	237
YNR056C	P53744	S000005339	561
YJR089W	P47134	S000003849	954
YBR270C	P38346	S000000474	545
YJL058C	P47041	S000003594	543
YKL061W	P35727	S000001544	113
YFL007W	P43583	S000001887	2143
YLR408C	Q06071	S000004400	122
YER177W	P29311	S000000979	267
YDR099W	P34730	S000002506	273
YPL217C	Q08965	S000006138	1183
YBR141C	P38278	S000000345	337
YIL096C	P40493	S000001358	336
YLR063W	Q12291	S000004053	365
YJR025C	P47096	S000003786	177
YJR078W	P47125	S000003839	453
YJL060W	P47039	S000003596	444
YBL098W	P38169	S000000194	460
YLR231C	Q05979	S000004221	453
YFR047C	P43619	S000001943	295
YDR428C	Q04066	S000002836	261
YNL271C	P41832	S000005215	1953
YNL233W	P53858	S000005177	892
YNL166C	P53890	S000005110	448
YIL159W	P40450	S000001421	1375
YGR230W	P50084	S000003462	137
YBL085W	P38041	S000000181	980
YER114C	P39969	S000000916	1040
YAL044W-A	Q3E793	S000007586	110
YGL220W	P53082	S000003188	120
YAL046C	P39724	S000000044	118
YLR267W	Q06150	S000004257	570
YNL042W	P53958	S000004987	396
YNL275W	P53838	S000005219	576
YLR078C	P25385	S000004068	244
YCR032W	P25356	S000000628	2167
YDL141W	P48445	S000002300	690
YLL015W	P14772	S000003938	1559
YDL074C	Q07457	S000002232	700
YLR015W	P43132	S000004005	505
YDL231C	Q07660	S000002390	1125
YNR051C	P53741	S000005334	515
YGR246C	P29056	S000003478	596
YHR036W	P38770	S000001078	471
YBL097W	P38170	S000000193	754
YPL084W	P48582	S000006005	844
YGL007W	P53194	S000002975	125
YPR057W	Q99177	S000006261	341
YER172C	P32639	S000000974	2163
YGL247W	P53062	S000003216	197
YOL077C	Q08235	S000005437	291
YDL037C	Q12140	S000002195	328
YDR275W	Q05611	S000002683	235
YLR465C	O13558	S000004457	102
YNL269W	P53841	S000005213	131
YNR069C	P53755	S000005352	489
YOL137W	Q08280	S000005497	497
YBR290W	P38356	S000000494	321
YPR171W	Q06604	S000006375	576
YFL025C	P43571	S000001869	1029
YGR142W	P53286	S000003374	410
YPL069C	Q12051	S000005990	335
YDR252W	P40314	S000002660	149
YGR188C	P41695	S000003420	1021
YMR055C	P26448	S000004659	306
YOR026W	P26449	S000005552	341
YGL174W	P46947	S000003142	266
YAR014C	P27637	S000000069	709
YEL029C	P39988	S000000755	312
YNR027W	P53727	S000005310	317
YJL188C	O94143	S000003724	102
YLR074C	Q08004	S000004064	166
YOR078W	Q08492	S000005604	214
YMR014W	Q04347	S000004616	519
YCR047C	P25627	S000000643	275
YER014C-A	P85052	S000007590	153
YDR241W	Q03783	S000002649	95
YFL023W	P43573	S000001871	796
YLR062C	Q07992	S000004052	125
YKL092C	P33314	S000001575	1104
YCL014W	P25558	S000000520	1636
YDL151C	Q12064	S000002310	193
YCR063W	P25337	S000000659	157
YGR262C	P53323	S000003494	261
YJR092W	P47136	S000003852	1447
YCR038C	P25300	S000000634	642
YLR319C	P41697	S000004311	788
YOR299W	Q08754	S000005825	746
YLR353W	P41698	S000004345	603
YGR041W	P53226	S000003273	547
YDL099W	Q12191	S000002257	341
YMR275C	P48524	S000004888	976
YML111W	Q03758	S000004579	920
YLR226W	Q05949	S000004216	395
YER159C	P40096	S000000961	142
YNL305C	P48558	S000005249	297
YKL005C	P36106	S000001488	594
YHR114W	P38822	S000001156	633
YDR531W	Q04430	S000002939	367
YIL083C	P40506	S000001345	365
YKL088W	P36076	S000001571	571
YGR277C	P53332	S000003509	305
YDR196C	Q03941	S000002604	241
YML102W	Q04199	S000004570	468
YDR423C	P24813	S000002831	409
YNL278W	P53836	S000005222	1060
YGR134W	P53280	S000003366	1122
YFL028C	P43569	S000001866	289
YOR276W	P12962	S000005802	161
YKR036C	P36130	S000001744	643
YNL288W	P53829	S000005232	373
YER048C	P39101	S000000850	391
YFL029C	P43568	S000001865	368
YPL048W	P29547	S000005969	415
YEL063C	P04817	S000000789	590
YKL007W	P28495	S000001490	268
YIL034C	P13517	S000001296	287
YPL111W	P00812	S000006032	333
YLR438W	P07991	S000004430	424
YML042W	P32796	S000004506	670
YOR125C	P41735	S000005651	233
YMR280C	P39113	S000004893	1433
YGR036C	P53223	S000003268	239
YPL178W	Q08920	S000006099	208
YJR060W	P17106	S000003821	351
YGR140W	P32504	S000003372	956
YLR175W	P33322	S000004165	483
YNL161W	P53894	S000005105	756
YJL209W	P07252	S000003745	654
YHL038C	P03874	S000001030	630
YPL215W	P21560	S000006136	335
YGR174C	P37267	S000003406	147
YBR120C	P07253	S000000324	162
YIL043C	P38626	S000001305	284
YDL069C	P14066	S000002227	229
YDR197W	P14905	S000002605	389
YKL208W	P36038	S000001691	271
YER168C	P21269	S000000970	546
YLR220W	P47818	S000004210	322
YDR270W	P38995	S000002678	1004
YKL011C	Q03702	S000001494	353
YGR217W	P50077	S000003449	2039
YPR025C	P37366	S000006229	393
YGR150C	P48237	S000003382	864
YKR066C	P00431	S000001774	361
YAL021C	P31384	S000000019	837
YMR038C	P40202	S000004641	249
YIL142W	P39076	S000001404	527
YJL014W	P39077	S000003551	534
YDL143W	P39078	S000002302	528
YJR064W	P40413	S000003825	562
YDR188W	P39079	S000002596	546
YJL111W	P42943	S000003647	550
YJL008C	P47079	S000003545	568
YLR110C	Q12127	S000004100	133
YLR390W-A	O13547	S000006429	238
YDR134C	Q7LHD1	S000002541	136
YBR131W	P38273	S000000335	704
YLR307W	Q06702	S000004298	301
YLR308W	Q06703	S000004299	312
YCR002C	P25342	S000000595	322
YJR076C	P32458	S000003837	415
YLR215C	Q05791	S000004205	360
YHR107C	P32468	S000001149	407
YDL220C	P32797	S000002379	924
YFR028C	Q00684	S000001924	551
YAR019C	P27636	S000000072	974
YKL022C	P09798	S000001505	840
YAL038W	P00549	S000000036	500
YDR182W	P40986	S000002590	491
YGL116W	P26309	S000003084	610
YOR074C	P06785	S000005600	304
YHR166C	P16522	S000001209	626
YAL041W	P11433	S000000039	854
YLR310C	P04821	S000004301	1589
YFR036W	P14724	S000001932	124
YBL084C	P38042	S000000180	758
YBR160W	P00546	S000000364	298
YLR314C	P32457	S000004306	520
YOR257W	P06704	S000005783	161
YOL139C	P07260	S000005499	213
YDR054C	P14682	S000002461	295
YDL165W	P06100	S000002324	191
YDR168W	P06101	S000002575	506
YCR093W	P25655	S000000689	2108
YFL009W	P07834	S000001885	779
YDR364C	P40968	S000002772	455
YLR229C	P19073	S000004219	191
YGL155W	P18898	S000003123	376
YLR103C	Q08032	S000004093	650
YDL126C	P25694	S000002284	835
YCR094W	P25656	S000000690	391
YDL132W	Q12018	S000002290	815
YGL190C	Q00362	S000003158	526
YMR001C	P32562	S000004603	705
YJL194W	P09119	S000003730	513
YPL160W	P26637	S000006081	1090
YLR418C	Q06697	S000004410	393
YDL017W	P06243	S000002175	507
YJR057W	P00572	S000003818	216
YDL164C	P04819	S000002323	755
YLR245C	Q06549	S000004235	142
YGL003C	P53197	S000002971	566
YBR029C	P38221	S000000233	457
YMR213W	Q03654	S000004826	590
YGL130W	Q01159	S000003098	459
YER061C	P39525	S000000863	442
YMR168C	P40969	S000004778	608
YPL228W	O13297	S000006149	549
YOR112W	Q12453	S000005638	761
YIL003W	P40558	S000001265	293
YDR301W	Q06632	S000002709	1357
YLR115W	Q12102	S000004105	859
YML036W	Q03705	S000004500	181
YGL029W	P53188	S000002997	120
YCL064C	P25379	S000000569	360
YLR098C	P43634	S000004088	648
YGL206C	P22137	S000003174	1653
YER164W	P32657	S000000966	1468
YBR274W	P38147	S000000478	527
YPL008W	P22516	S000005929	861
YDR254W	P38907	S000002662	458
YER026C	P08456	S000000828	276
YGR157W	P05374	S000003389	869
YNL192W	P08004	S000005136	1131
YBR038W	P14180	S000000242	963
YBR023C	P29465	S000000227	1165
YLR330W	Q12114	S000004322	671
YJL099W	P40955	S000003635	746
YHR142W	P38843	S000001184	316
YER030W	P40019	S000000832	153
YDR267C	Q05583	S000002675	330
YHR052W	P38779	S000001094	376
YMR198W	Q01649	S000004811	594
YOR349W	P40987	S000005876	1014
YPL241C	P46670	S000006162	268
YMR138W	P39110	S000004746	191
YOR028C	P40917	S000005554	295
YEL061C	P27895	S000000787	1000
YGR207C	P42940	S000003439	261
YOR356W	Q08822	S000005883	631
YJL158C	P47001	S000003694	227
YNR001C	P00890	S000005284	479
YCR005C	P08679	S000000598	460
YPR001W	P43635	S000006205	486
YIL035C	P15790	S000001297	372
YOR061W	P19454	S000005587	339
YGL019W	P43639	S000002987	278
YOR039W	P38930	S000005565	258
YLR133W	P20485	S000004123	582
YBR135W	P20486	S000000339	150
YNL298W	P48562	S000005242	842
YGR108W	P24868	S000003340	471
YPR119W	P24869	S000006323	491
YDL155W	P24870	S000002314	427
YLR210W	P24871	S000004200	460
YPR120C	P30283	S000006324	435
YGR109C	P32943	S000003341	380
YGR167W	P17891	S000003399	233
YGR110W	P53264	S000003342	445
YLR117C	Q12309	S000004107	687
YGL215W	P35190	S000003183	452
YMR199W	P20437	S000004812	546
YPL256C	P20438	S000006177	545
YAL040C	P13365	S000000038	580
YOR250C	Q08685	S000005776	445
YMR012W	Q03690	S000004614	1277
YKL137W	P36064	S000001620	111
YBL059C-A	Q3E7A4	S000007488	109
YMR194C-B	Q3E7A9	S000028514	73
YBR109C	P06787	S000000313	147
YFR014C	P27466	S000001910	446
YOL016C	P22517	S000005376	447
YML057W	P14747	S000004521	604
YDL156W	Q12510	S000002315	522
YLR003C	Q07897	S000003993	291
YLR433C	P23287	S000004425	553
YKL190W	P25296	S000001673	175
YAL058W	P27825	S000000054	502
YDR357C	Q06333	S000002765	122
YNL225C	P53865	S000005169	581
YFR046C	P43618	S000001942	361
YBR155W	P33313	S000000359	385
YIL157C	P40452	S000001419	197
YPL189C-A	Q3E823	S000028527	68
YJL062W-A	Q3E7B2	S000007611	85
YLR218C	Q05809	S000004208	96
YMR244C-A	Q3E846	S000004857	104
Q0105	P00163	S000007270	385
YLL050C	Q03048	S000003973	143
YGL223C	P53079	S000003191	417
YGR120C	P53271	S000003352	262
YER157W	P40094	S000000959	801
YPR105C	Q06096	S000006309	861
YNL051W	P53951	S000004996	403
YNL041C	P53959	S000004986	839
YGL005C	P53195	S000002973	279
YML071C	Q04632	S000004536	607
YDL145C	P53622	S000002304	1201
YBR003W	P18900	S000000207	473
YOL008W	Q08058	S000005368	207
YLR290C	Q05892	S000004281	277
YNR041C	P32378	S000005324	372
YOL096C	P27680	S000005456	312
YDR204W	O13525	S000002612	335
YML110C	P49017	S000004578	307
YGR255C	P53318	S000003487	479
YGL119W	P27697	S000003087	501
YLR201C	Q05779	S000004191	260
YBL045C	P07256	S000000141	457
YNL336W	P53822	S000005280	381
YNR075W	P52924	S000005358	374
YBR203W	P38308	S000000407	924
YGL263W	P53053	S000003232	380
YBR302C	P0CX12	S000000506	379
YML132W	P0CX13	S000004601	379
YFL062W	P43542	S000001832	379
YJR161C	P47187	S000003922	383
YGR295C	P53344	S000003527	381
YDL248W	Q07788	S000002407	383
YHL048W	P38723	S000001040	381
YKL219W	P36034	S000001702	407
YOR316C	P32798	S000005843	439
YPL172C	P21592	S000006093	462
YPL132W	P19516	S000006053	300
YLR038C	Q01519	S000004028	83
YGL191W	P32799	S000003159	129
YML129C	P39103	S000004598	70
YER141W	P40086	S000000943	486
YJL003W	P47081	S000003540	118
YLL009C	Q12287	S000003932	69
YGR062C	P53239	S000003294	316
YLL018C-A	Q3E731	S000007245	98
Q0045	P00401	S000007260	534
YDR231C	Q04935	S000002639	205
YHR116W	P38824	S000001158	151
Q0250	P00410	S000007281	251
Q0275	P00420	S000007283	269
YGL187C	P04037	S000003155	155
YNL052W	P00424	S000004997	153
YIL111W	P00425	S000001373	151
YHR051W	P00427	S000001093	148
YMR256C	P10174	S000004869	60
YLR395C	P04039	S000004387	78
YDL067C	P07255	S000002225	59
YKL179C	P34237	S000001662	679
YOR303W	P07258	S000005829	411
YJR109C	P03965	S000003870	1118
YGR247W	P53314	S000003479	239
YDR155C	P14832	S000002562	162
YHR057C	P23285	S000001099	205
YML078W	P25719	S000004543	182
YCR069W	P25334	S000000665	318
YDR304C	P35176	S000002712	225
YLR216C	P53691	S000004206	371
YJR032W	P47103	S000003793	393
YNR028W	P53728	S000005311	308
YJL172W	P27614	S000003708	576
YNL130C	P17898	S000005074	393
YOR100C	Q12289	S000005626	327
YDL142C	Q07560	S000002301	283
YDR223W	Q04930	S000002631	467
YHR209W	P38892	S000001252	291
YGR189C	P53301	S000003421	507
YGR218W	P30822	S000003450	1084
YLR429W	Q06440	S000004421	651
YHR146W	P38845	S000001189	465
YLR213C	Q05790	S000004203	422
YOR031W	P41902	S000005557	69
YOL063C	Q08226	S000005424	957
YNL027W	P53968	S000004972	678
YLR241W	Q06538	S000004231	782
YGL238W	P33307	S000003207	960
