YORF	BY008_T1	BY008_T2	BY008_T3	BY008_T4	BY008_T5	BY008_T6	BY008_T7	BY008_T8	BY013_T1	BY013_T0	BY013_T2	BY013_T3	BY013_T4	BY013_T5	BY013_T6	BY013_T7	BY013_T8	BY005_T1	BY005_T2	BY005_T3	BY005_T4	BY005_T5	BY005_T6	BY005_T7	BY005_T8
YML035C	2323.9	2512.2	3276.5	3635.0	2958.3	3769.5	3498.7	2863.9	2306.5	2449.7	2327.7	2304.1	2432.7	2747.8	2789.6	2886.8	3065.7	2774.1	2777.7	2584.8	2974.8	2802.6	2584.5	3181.5	3690.9
YER087C-B	6867.3	6749.4	5843.3	5374.5	5636.9	5255.0	6296.0	7763.7	7348.0	7565.8	7649.5	7168.8	7065.2	6580.9	7088.0	7253.8	6270.0	7596.4	7667.1	7940.5	7357.2	6839.1	6951.1	8085.7	7406.0
YIL160C	187.8	152.5	112.4	93.5	79.2	59.6	71.8	52.0	48.7	49.6	57.7	72.6	101.4	192.5	427.9	557.1	887.6	54.4	62.0	64.9	99.2	164.0	334.8	274.8	536.7
YLR050C	4065.2	4110.4	2934.5	2530.1	1967.1	1316.3	1279.8	2987.2	3162.4	3166.0	3458.7	3242.4	3275.2	3469.6	3771.3	5123.6	4548.3	3006.4	3365.4	3458.8	3171.6	2893.1	3671.7	5017.0	5416.5
YOR037W	1261.2	1281.5	1071.2	1045.9	1043.3	1157.8	1249.1	1188.4	928.8	986.2	992.4	954.6	968.2	978.1	1006.9	999.2	914.1	926.8	1033.7	1058.6	1035.3	1000.3	988.5	1145.6	1070.9
YOL008W	1428.6	1140.5	727.3	722.4	823.4	839.6	812.8	1035.5	1117.5	1074.8	1126.0	1261.6	1436.9	1607.6	1700.5	1590.7	1478.0	1001.3	1084.9	1215.8	1352.2	1523.2	1930.1	1578.8	1538.4
YOR072W-B	402.8	460.8	528.7	714.1	887.3	890.3	666.6	1010.7	580.2	481.1	510.7	411.0	371.6	371.1	267.9	265.2	255.8	819.1	1116.7	909.8	492.4	279.1	333.1	219.1	167.9
YPL253C	1256.7	1244.3	990.5	1031.9	1255.2	1130.4	580.0	705.6	1226.3	1204.6	1117.4	1047.2	1084.4	1068.2	1081.0	1274.4	1224.6	1119.8	1079.9	1051.0	1032.3	922.9	972.6	898.7	1044.2
YDL048C	769.2	1659.7	3365.9	2898.4	2084.0	1271.7	1155.2	782.0	585.8	624.5	631.2	612.2	651.8	818.8	977.0	1495.0	1206.5	815.6	850.3	1479.2	1438.0	812.6	1166.3	1243.6	1579.5
YDR056C	4977.7	4781.4	4158.8	3964.9	3912.3	3880.9	4226.8	3864.9	6067.4	5744.2	6183.8	6390.3	6304.8	6613.4	6622.8	7143.1	6860.8	6016.9	6523.2	6293.7	5923.5	5913.7	6957.6	7593.9	6209.1
YNL083W	1116.1	1022.8	681.2	848.3	1064.6	1143.5	1086.4	965.3	923.8	884.7	896.7	882.0	976.4	1014.5	1057.9	1067.6	1075.8	906.2	903.9	931.5	1018.7	994.9	1161.2	1188.7	1214.1
YCR081W	577.4	533.0	616.3	546.9	380.8	417.7	536.4	445.7	469.5	557.4	530.9	424.0	464.7	461.4	454.5	446.5	410.2	494.3	446.9	443.3	483.5	388.3	520.7	471.5	474.4
YDL159W	1501.2	1199.2	672.5	749.1	782.1	872.0	1151.8	977.2	808.9	782.4	794.1	813.6	908.5	1079.5	1315.3	1192.8	1212.6	712.6	756.0	881.5	955.8	1025.1	1247.0	1393.1	1169.8
YCR024C-B	16031.2	15006.8	14243.2	12738.3	13520.3	14160.9	13886.7	14801.4	13386.0	12721.6	13076.5	13301.3	13392.0	13144.8	15675.2	17084.7	16892.8	12871.1	12890.0	12982.8	11998.7	13990.0	13484.5	15828.6	17056.3
YPL154C	17571.3	17567.8	15247.0	13882.5	10444.6	5805.8	10801.0	10685.2	13255.9	12948.3	14354.0	14225.5	15395.3	17338.3	20408.0	22390.9	21972.2	11301.9	10733.0	12510.3	13747.7	14772.1	17024.8	21217.2	21505.3
YDR020C	423.7	622.8	980.7	1268.2	1465.8	1708.1	903.7	744.7	684.3	668.0	584.6	418.7	349.9	298.2	305.6	302.0	365.9	765.2	738.7	580.3	378.1	236.2	365.4	207.6	318.0
YOR290C	5737.5	5345.8	4278.5	4026.9	4189.5	4786.7	4236.9	4412.2	3903.9	3866.1	3751.7	3806.6	3786.3	3991.0	4331.3	5630.4	5142.5	3731.9	3785.0	3841.0	4351.1	4170.5	4570.2	5365.7	5655.7
YGR267C	7676.7	7509.9	7404.1	7353.0	7541.7	7779.6	11413.6	8353.9	8168.1	8164.2	8230.7	8089.4	7954.8	7518.1	7707.5	8079.8	7972.2	8056.1	8413.3	8688.9	8398.0	8310.1	8987.1	11955.1	8784.7
YNL216W	3553.2	3366.9	2891.5	3287.3	3392.9	3383.0	2828.2	2834.9	3117.3	3267.2	2950.5	2919.9	2930.2	2840.7	2526.7	1914.3	2082.8	3022.6	2916.2	2887.9	2659.3	2050.9	1756.8	1754.1	2712.9
YFL034C-B	1296.2	1709.8	1589.2	1626.4	1697.6	1990.5	1973.4	1680.8	2272.6	2177.5	2168.5	2099.6	1849.2	1521.6	1372.1	1490.1	1508.4	1839.7	1787.8	1887.7	1450.6	1221.5	1170.5	1344.4	1383.5
YEL031W	10538.0	9768.2	8910.7	8590.1	7497.1	7235.0	7724.2	9537.4	10096.7	9276.8	9694.7	9754.6	9787.9	9663.8	10320.7	9963.7	9211.4	9861.7	9603.2	9432.9	9597.8	9476.2	10276.9	11046.1	10264.5
YBR238C	379.8	774.3	2198.2	3213.6	3078.3	3306.2	2024.8	1295.2	711.1	700.1	578.4	415.6	332.4	269.6	199.6	183.9	158.0	784.4	759.0	681.6	495.1	222.7	164.0	88.6	166.5
YFL045C	15778.2	14980.9	13474.4	12779.3	11592.6	11338.9	11769.8	13455.2	12877.3	13246.4	12913.5	13222.7	13276.9	13255.1	13172.8	14528.6	12400.2	13577.6	13138.1	13408.0	12971.7	12860.4	13083.8	11873.5	8979.8
YGL222C	2150.7	985.3	751.1	905.1	1066.6	1238.4	1442.2	944.0	1929.0	1800.7	2149.4	2345.8	2580.2	3076.0	3215.2	3585.3	3535.1	1141.7	1239.1	1498.1	1820.4	2033.0	2443.5	2674.8	2367.2
YIR021W	1731.6	1708.7	1035.2	1170.0	1349.1	1489.6	1639.5	1674.8	1912.5	1980.3	1955.0	1666.8	1653.2	1422.2	1371.8	1253.1	1324.9	1680.4	1737.1	1639.6	1322.1	1005.7	1067.8	858.6	1099.5
YHR014W	105.6	96.8	108.1	126.7	214.9	282.7	179.9	282.2	158.0	172.5	179.4	102.7	123.2	119.2	101.8	138.0	145.2	120.5	128.0	121.3	114.6	99.7	114.4	134.5	154.5
YEL006W	4833.2	3859.4	2276.2	2195.3	2284.6	2675.0	2877.3	2727.4	2729.8	2802.2	3044.5	3081.8	3248.9	3755.7	4581.4	5365.5	5032.3	2149.8	2026.1	2338.9	2936.0	3337.5	4057.6	2988.9	2814.7
YDL029W	7272.6	7001.1	5895.4	5351.3	4507.2	4145.6	7510.4	7165.4	7104.5	7567.2	7548.4	7702.6	8001.8	8508.2	9080.6	10277.6	10020.0	6586.6	6598.4	6947.8	7599.5	7804.3	9466.1	11619.6	9130.1
YLR401C	332.0	727.6	2231.5	3394.9	4390.3	4926.7	3325.3	2025.5	1508.6	1459.9	1235.1	812.4	538.2	274.5	122.6	189.2	214.3	1822.9	1813.3	1310.6	831.7	278.9	120.2	71.1	270.9
YDR447C	14255.4	13403.6	15264.2	14858.2	16727.2	16928.2	15500.6	17666.5	16203.8	15973.4	15681.3	15516.3	14914.5	13593.5	12484.3	7720.3	8415.5	16362.6	16755.2	15901.7	15368.3	16187.7	14390.4	6493.8	8186.7
YOR192C-C	5019.7	4006.8	2299.2	2264.9	2388.8	2652.9	2314.2	2905.6	2740.1	2566.5	2804.0	2609.2	2569.1	2792.2	2696.3	2650.0	2968.8	2987.6	3460.8	3224.0	2915.3	3430.8	3045.8	5139.3	5075.6
YER026C	10901.3	9672.6	6423.1	4627.1	3904.5	4113.8	6643.2	6065.3	9693.2	9609.8	10147.6	10210.3	10552.3	11521.6	13445.0	15259.4	13833.2	9236.4	9190.6	9975.7	10772.2	11062.9	13910.2	13048.7	10246.1
YLR287C-A	15480.2	16505.9	16472.6	16794.9	17405.3	18198.8	17974.5	18000.6	18274.4	17236.2	17333.8	17540.3	16941.9	16255.8	14889.6	12422.9	13807.2	19053.4	18480.7	17813.4	16694.7	18102.1	16048.5	13354.1	14982.2
YKL195W	3337.5	2872.3	1874.8	1495.5	1118.2	889.0	2125.1	2396.4	3117.5	3085.3	2960.6	3699.2	4043.3	4278.9	4586.7	4147.0	4145.9	2985.3	2874.5	3406.9	3782.1	4010.1	3995.7	4790.2	4463.9
YDR144C	2500.6	2252.5	1902.4	2011.8	1850.0	2179.8	1664.4	3078.1	2931.7	2616.7	2511.1	2571.9	2092.0	1814.1	1513.0	1024.6	853.4	3112.5	3077.2	2624.7	2189.2	1394.3	1026.0	946.1	925.1
YDR439W	1321.3	1086.0	793.4	863.7	1014.7	1096.1	1040.6	1021.8	1026.2	1039.4	1011.0	1026.2	1045.9	1177.3	1195.5	1131.3	1025.1	1018.0	1011.1	1061.2	1137.0	1146.8	1182.6	1144.3	1092.3
YBR149W	12790.4	10788.2	8861.8	7197.6	4987.7	1608.0	2950.2	5675.3	6821.7	7725.0	8124.9	8817.2	10195.3	12113.0	15219.7	16946.5	17501.3	6376.9	6066.5	7413.1	9255.2	10741.1	12959.2	14419.1	15099.4
YER114C	2883.2	3207.4	3548.9	3796.2	3840.4	4104.8	3322.1	2455.5	2393.9	2561.4	2382.3	2115.6	2080.0	2125.3	2170.9	2716.5	2591.9	2406.9	2272.6	2267.7	2245.1	1834.8	1816.9	1755.7	2311.6
YMR247C	3753.8	4263.1	4033.9	4468.8	4438.4	4601.8	5406.4	4577.8	4165.3	4228.1	4087.0	3699.1	3508.8	3129.6	2648.4	2229.7	2251.3	4756.5	5095.8	4460.5	3912.8	2802.5	1978.0	2057.4	2979.9
YMR076C	4219.1	4657.7	3046.0	1953.7	1336.7	1224.2	860.9	2213.8	3336.0	3786.5	3627.1	3790.0	3658.4	3996.8	4011.2	4445.0	3104.1	2522.8	2289.5	2744.9	2747.0	2619.5	2393.2	3660.4	3862.6
YGR056W	2147.1	2240.6	2175.2	2494.3	2990.3	3313.5	2847.8	2328.4	1952.2	1904.6	1830.2	1691.6	1582.0	1678.5	1726.5	1768.4	1830.8	1828.4	1991.3	1847.1	1804.4	1520.8	1798.9	1925.9	1762.7
YAL013W	1984.6	1731.3	1541.7	2116.5	2527.7	2320.8	1860.3	1616.9	1863.2	1800.6	2019.4	1999.0	2010.0	2145.6	2039.7	2001.3	2050.3	1838.6	1799.7	2124.5	2316.8	2184.8	1990.8	1828.3	1831.8
YPR002W	328.3	336.7	383.6	300.9	162.1	105.2	181.1	124.5	204.8	194.6	191.4	189.7	201.6	220.5	269.5	736.6	578.8	178.7	170.8	195.9	212.6	212.1	510.1	925.0	252.9
YOR175C	4023.3	3600.7	2763.0	2193.0	1432.7	936.4	1761.3	2651.0	3914.4	3493.4	3794.0	4108.2	3926.2	3984.1	3864.4	3923.8	3538.2	3656.2	3660.5	3408.7	3806.4	3673.6	4070.4	4146.8	3779.8
YDL167C	656.0	1887.3	4718.1	5767.6	5582.2	5135.4	3807.4	3573.3	2030.7	1693.8	1455.1	913.4	495.1	225.3	176.5	398.6	501.0	2287.3	2637.9	1545.2	710.9	221.0	165.3	214.2	485.6
YDR465C	634.1	2756.1	5770.2	6867.7	7709.3	6667.9	5314.5	3631.7	3238.8	3064.4	2520.1	1902.5	1440.4	971.5	308.9	295.5	531.3	3932.6	3668.6	3278.2	2625.9	1633.9	648.1	193.8	1089.4
YJL201W	1499.2	1356.2	830.1	895.5	840.0	1122.5	1031.6	1170.9	1278.2	1233.2	1270.8	1173.8	1190.6	1406.0	1264.6	1300.5	941.2	1010.0	1030.1	1309.8	1162.2	1027.1	1069.9	1146.8	806.2
YDR495C	1748.0	1600.5	1318.9	1048.1	1039.9	1144.3	1289.6	1286.9	1364.5	1396.6	1338.2	1448.8	1410.5	1626.9	1646.4	1842.7	1744.9	1391.7	1336.1	1349.4	1470.0	1470.5	1606.2	1901.8	2091.2
YDR501W	775.9	690.5	318.8	275.9	283.8	288.7	130.1	393.2	400.2	401.2	431.1	456.2	523.0	551.3	537.3	572.1	446.8	375.2	386.6	426.8	460.4	397.4	391.9	429.5	416.3
YHL010C	1089.8	908.5	449.1	317.4	237.7	315.8	476.5	369.4	624.9	656.2	756.3	887.3	1024.5	1266.9	1426.5	1455.3	1378.5	513.7	496.3	577.2	871.6	1045.3	1204.5	1113.9	1074.7
YHR152W	2071.8	2060.1	1195.3	1070.0	1457.2	1676.3	1313.3	1212.1	1752.1	1946.3	1921.3	2017.0	2082.0	2367.1	2359.7	2880.7	3135.7	1681.0	1946.5	1998.9	1954.3	1842.2	1982.9	2504.7	3057.3
YER035W	8348.1	7262.2	4119.5	2848.1	2253.7	1965.9	2955.2	3150.5	2836.9	3006.4	3820.4	4687.5	5886.7	7384.8	7581.0	7276.2	7941.5	2192.5	2384.4	4150.3	5520.1	5496.5	5946.6	7446.0	10207.3
YHR002W	1191.4	999.0	578.0	625.9	754.1	781.6	707.5	814.5	937.4	930.8	981.3	1079.0	1150.8	1069.9	1210.0	1228.9	1255.4	839.1	808.3	1076.7	1219.7	1072.6	975.4	905.2	989.3
YPL020C	3910.7	3887.5	3017.7	2822.3	3126.9	3326.6	4124.0	3139.9	2994.6	2993.4	3006.2	3018.2	2982.7	3106.7	3505.4	3644.1	3601.4	3564.0	3712.5	3336.2	3406.3	3247.0	3562.1	3769.6	3272.9
YLR286C	17944.6	16592.1	15248.4	14936.2	14414.7	14574.8	13000.8	14807.8	15225.1	13590.5	14675.7	15088.0	14461.4	15231.1	16624.3	18819.7	19164.0	14954.8	15255.0	14360.8	14834.4	14184.7	15774.7	15797.8	18375.8
YKL061W	830.2	735.2	515.7	450.5	481.5	629.9	900.8	528.5	513.6	500.5	531.9	591.4	641.6	679.1	673.4	673.5	807.0	508.8	637.2	683.4	590.0	681.6	833.3	956.6	1062.2
YHR131C	920.2	998.3	1004.0	934.4	839.5	1003.9	966.7	840.6	657.4	639.5	658.6	675.0	721.3	788.5	875.4	962.8	838.2	701.1	710.6	719.0	778.4	784.8	820.2	783.1	806.1
YJL185C	1735.4	1486.8	1109.4	862.5	674.4	581.2	515.3	586.7	1087.9	1023.5	1149.5	1208.1	1391.8	1727.6	2113.9	2258.8	2392.9	940.2	1021.3	1090.3	1479.2	1746.8	2592.2	3008.5	3498.7
YMR317W	121.3	164.1	124.4	59.3	79.1	147.9	232.6	107.2	119.3	134.5	140.5	121.5	151.6	230.2	256.2	318.1	220.6	112.5	134.7	172.6	207.8	187.9	351.0	334.4	178.8
YIL125W	5204.0	4755.9	3581.6	3412.0	2512.9	1794.8	3538.8	3674.4	3905.7	4240.8	4285.2	4260.7	4642.3	5482.6	5932.5	5975.6	5600.5	3866.2	3796.9	4111.0	4913.8	5065.6	6195.7	6139.2	7121.0
YPL065W	2416.2	2340.8	1529.9	1207.5	926.5	746.6	922.7	1295.9	1863.4	1963.4	2045.7	2107.4	2200.6	2405.6	2357.5	2372.5	2387.8	2182.3	2605.3	2358.9	2361.8	2357.0	2453.2	2440.8	2507.9
YGR130C	5598.8	4704.9	2441.7	1341.5	638.0	654.8	2320.9	2408.5	2686.0	2829.5	3190.3	3868.2	4682.9	5946.1	5654.8	6640.7	7012.6	2310.0	2238.7	3186.3	5032.1	5454.4	4082.4	4972.8	6385.2
YDL049C	1773.4	2106.9	2241.4	2097.7	2100.9	2583.3	2112.5	1154.1	1569.2	1484.4	1525.8	1394.2	1275.8	1280.9	1310.9	2089.4	1776.7	1439.6	1579.9	1857.1	1648.9	1512.9	2076.8	2549.6	1908.2
YBR065C	159.1	290.4	438.0	457.4	549.6	741.0	572.4	144.6	263.3	223.0	210.8	204.7	185.5	217.6	237.3	256.7	224.1	194.2	176.9	215.1	226.2	185.1	329.1	203.1	220.2
YJR082C	1972.6	1996.6	1794.2	2080.9	2346.9	2684.9	3576.9	2348.6	2155.0	2030.3	2045.0	2076.2	1896.5	1887.2	1688.1	1896.6	2119.6	2156.7	2385.9	2042.0	1866.3	1757.7	2019.4	2884.8	2571.4
YMR182C	303.6	598.2	1157.0	923.5	422.8	500.3	320.0	211.9	175.7	143.7	164.0	166.9	163.4	190.6	228.6	271.5	288.1	83.2	86.6	112.8	124.3	112.3	88.0	163.5	207.5
YPL264C	1734.3	1619.7	991.5	1047.3	1058.2	1227.5	3832.0	1578.7	1624.4	1510.4	1580.5	1578.2	1512.5	1508.5	1666.0	1916.4	1816.9	1425.1	1498.8	1358.3	1234.0	1135.0	1942.6	2446.4	1550.6
YPL199C	3233.6	3500.4	4097.3	5051.2	5562.5	4988.0	3781.0	4285.1	3874.8	3801.7	3797.2	3688.8	3314.3	3223.2	2671.8	2291.7	2296.3	3986.2	4492.3	3963.9	3239.2	2815.6	2721.9	2592.9	2772.8
YGR080W	3159.7	2460.9	1465.0	1069.4	810.5	752.5	1766.3	1941.5	2051.3	2316.0	2422.9	2513.4	2845.7	3077.7	3118.1	2811.5	2829.6	1790.8	1803.8	2327.0	2743.8	2792.5	3132.7	3185.4	3034.0
YLR125W	238.1	406.8	326.2	308.4	135.6	173.5	240.9	125.2	212.2	212.0	246.0	223.6	268.3	291.0	363.2	404.0	366.1	120.5	97.6	190.7	174.9	172.1	188.0	197.0	194.9
YNL292W	693.6	1129.5	1668.2	1967.4	2207.8	2152.5	1511.9	1491.3	1480.2	1470.5	1288.8	1073.7	914.5	749.8	525.0	521.5	550.1	1495.3	1535.2	1272.3	907.7	531.1	467.6	391.0	641.2
YAR033W	1056.5	865.8	750.5	712.1	784.3	800.0	947.5	918.1	1241.8	1188.1	1270.1	1274.9	1333.9	1405.4	1282.9	1367.0	1273.6	1221.3	1344.3	1418.4	1488.7	1374.4	1553.1	1423.9	1476.7
YKL063C	2964.7	3431.9	2961.4	2391.0	2111.5	2108.9	2231.6	2586.2	3214.0	3243.9	3274.5	3268.9	3351.5	3172.0	3429.0	3317.8	3342.3	2929.5	2833.4	3028.3	2935.1	3068.1	2920.4	3188.6	2994.3
YIL010W	4581.6	3732.7	3500.4	3097.3	2605.8	1803.2	3201.0	3525.8	4032.0	4117.8	4141.2	4049.2	4263.9	4513.7	4954.5	5147.5	5347.9	3568.1	3630.6	4019.2	4160.7	4593.2	5793.9	7481.2	6180.5
YGR113W	1857.3	1820.2	951.1	1054.4	904.3	815.0	955.6	1055.3	1905.2	1974.1	2155.0	2079.9	2255.1	2667.8	2749.7	3231.5	2696.3	1240.7	1178.9	1762.7	1691.1	1742.5	1916.4	2297.2	2020.7
YLR266C	938.9	735.2	567.0	479.4	430.2	323.8	367.1	601.0	805.7	829.9	806.9	878.7	858.2	866.3	888.3	601.8	575.0	923.0	978.0	817.3	896.1	839.3	765.3	773.3	770.4
YPL050C	5952.6	6372.5	6120.6	6186.4	6072.4	6595.4	5769.9	5526.0	6285.8	5485.8	5947.8	5931.6	5493.4	5365.1	5380.4	5662.4	5067.4	5748.7	5927.7	5276.4	4969.4	4289.7	4604.3	4868.1	4389.4
YDR447C	9446.1	11862.9	14378.6	16144.9	18134.0	19149.2	17530.7	18420.5	16925.6	16612.2	16904.1	15782.7	14470.6	12773.6	6020.0	2303.0	3088.4	19669.0	20669.8	19174.7	18205.9	15918.3	12460.2	1385.1	3642.5
YML019W	4895.6	4215.0	3499.9	3252.9	3029.0	3105.0	3578.6	4248.6	4654.8	4553.3	4868.9	4620.2	4444.3	4233.5	4783.6	4264.4	3700.1	4491.6	4151.0	4079.6	4239.3	3860.5	4304.4	3292.7	2983.7
YKL166C	1095.9	1220.7	1400.0	1751.6	1845.3	2069.5	1555.5	1830.8	1791.7	1384.9	1578.9	1322.5	1051.7	830.7	732.3	792.1	966.8	1750.9	1774.9	1623.4	964.1	603.7	627.3	935.0	1149.8
YJR139C	17900.0	16677.7	15919.2	16364.1	16158.8	14609.6	10910.5	13368.1	15792.5	16692.5	16471.3	16091.1	16445.7	16644.5	17539.5	18458.4	18037.0	15799.7	15654.5	15753.6	16360.8	16341.2	18546.8	19403.6	18904.1
YNR038W	1114.2	1784.5	3377.0	4498.2	5250.2	5765.4	4147.1	2944.5	2642.6	2407.4	2043.8	1593.0	1133.4	810.6	606.4	826.7	975.1	2891.4	2920.2	2306.2	1440.8	620.8	679.5	693.9	1157.1
YJL165C	2658.6	3043.2	2223.8	2158.7	1963.5	2421.0	3763.8	2807.2	2228.3	2231.0	2438.9	2446.7	2658.6	3094.6	2826.6	3172.1	3018.4	2147.0	2189.2	2435.4	2861.9	2416.7	2131.8	2450.7	2695.1
YFL012W	160.5	161.3	138.3	164.3	167.4	161.9	138.8	157.7	179.1	184.8	204.0	142.2	149.7	137.8	151.2	154.3	157.6	135.5	160.4	147.8	150.6	157.1	159.4	181.1	149.8
YDL086W	9729.4	10179.9	7970.5	7222.3	6302.1	4300.8	4617.2	5609.4	6638.3	6556.1	7070.7	7155.7	7434.5	8420.5	9840.1	11775.1	11624.8	5575.4	6000.9	6959.9	6887.7	6871.6	8977.1	12475.6	11039.8
YIL176C	1516.7	1472.9	819.1	607.5	571.4	490.2	670.4	958.0	1134.0	958.7	1186.5	1093.0	1088.2	1130.4	1219.7	1332.9	1156.8	953.9	1032.3	1109.0	996.2	884.8	893.2	1635.5	957.9
YKL096W	3624.7	3124.5	3637.0	4562.3	6570.6	8591.5	10593.7	5725.2	10793.3	11175.7	11979.9	12449.3	13387.9	13838.4	14791.5	21004.6	19386.1	10938.1	10589.7	12223.9	13579.5	14082.7	14939.1	13891.5	9207.4
YLR064W	2738.6	4009.0	4694.4	4381.2	3695.8	3592.8	3722.4	3783.3	3018.3	2844.7	3007.8	2823.4	2840.5	2872.3	2857.4	3173.3	3417.8	2648.4	2546.9	2420.4	2510.7	2303.2	2003.7	2731.8	2744.8
YBR194W	925.4	869.4	455.8	469.9	609.0	775.0	1098.2	918.3	1002.6	1103.4	1150.6	1097.6	1197.0	1418.6	1410.8	1242.4	1106.1	1119.2	1243.7	1333.0	1335.0	1341.6	1586.1	1416.0	1108.9
YEL003W	5896.6	6392.9	5599.0	5863.2	5878.8	4892.0	4472.2	4865.6	4488.9	3704.5	4271.9	3953.3	3743.6	3728.7	3708.6	3300.6	3451.4	6132.8	7321.8	5910.5	4779.2	4147.5	3742.8	4380.9	4753.9
