name	full	short	degree
subgroup_52	Golgi_transport_complex	Golgi_transport	5
subgroup_53	HAT-B_complex	HAT-B	3
subgroup_54	HOPS_complex	HOPS	5
subgroup_55	Holliday_junction_resolvase_complex	Holliday_junction_resolvase	5
subgroup_56	Ino2p/Ino4p_basic_helix-loop-helix_heteromeric_complex	Ino2p/Ino4p	4
subgroup_57	Ino80p_complex	Ino80p	3
subgroup_58	Kornberg's_mediator_(SRB)_complex	Kornberg's_mediator	5
subgroup_59	LMA1_complex	LMA1	1
subgroup_60	MIND_complex	MIND	4
subgroup_61	MRX_complex	MRX	8
subgroup_62	Mei5p/Sae3p_complex	Mei5p/Sae3p	1
subgroup_63	Met4p/Met28p/Met32p_complex	Met4p/Met28p/Met32p	1
subgroup_64	Mgm1p/Ugo1p/Fzo1p_complex	Mgm1p/Ugo1p/Fzo1p	1
subgroup_65	Mob1p/Dbf2p_complex	Mob1p/Dbf2p	3
subgroup_66	Mon1p/Ccz1p_complex	Mon1p/Ccz1p	2
subgroup_67	Mps2p/Bbp1p_complex	Mps2p/Bbp1p	1
subgroup_68	Mtr2p/Mex67p_complex	Mtr2p/Mex67p	3
subgroup_69	Nfs1p/Isd11p_complex	Nfs1p/Isd11p	1
subgroup_70	Nup82_nuclear_pore_subcomplex	Nup82_NPC_subcomplex	4
subgroup_71	Nup84p_complex	Nup84p	3
subgroup_72	Origin_recognition_complex	Origin_recognition	7
subgroup_73	PAM_complex	PAM	1
subgroup_74	Pho85p/Pcl1p_complex	Pho85p/Pcl1p	1
subgroup_75	Pho85p/Pho80p_complex	Pho85p/Pho80p	1
subgroup_76	RSC_complex	RSC	2
subgroup_77	Rad17p/Ddc1p/Mec3p_complex	Rad17p/Ddc1p/Mec3p	8
subgroup_78	Rad6p/Rad18p_complex	Rad6p/Rad18p	2
subgroup_79	RecQ_helicase-Topo_III_complex	RecQ_helicase-Topo_III	2
subgroup_80	Rix1p_complex	Rix1p	1
subgroup_81	Rpd3L_complex	Rpd3L	4
subgroup_82	Rsp5p/Bul1_ubiquitin_ligase_complex	Rsp5p/Bul1	2
subgroup_83	Rtg1p/Rtg3p_complex	Rtg1p/Rtg3p	1
subgroup_84	SCF-CDC4_complex	SCF-CDC4	10
subgroup_85	SNARE_complex	SNARE	3
subgroup_86	SPB_components	SPB	4
subgroup_87	STE5-MAPK_complex	STE5-MAPK	4
subgroup_88	SWI/SNF_complex	SWI/SNF	1
subgroup_89	Sli15p/Bir1p_complex	Sli15p/Bir1p	1
subgroup_90	Slx1p/Slx4p_complex	Slx1p/Slx4p	5
subgroup_91	Slx5p/Slx8p_complex	Slx5p/Slx8p	1
subgroup_92	Snf1p/Snf4p/Sip2p_complex	Snf1p/Snf4p/Sip2p	1
subgroup_93	Sro1p/Sec4p/Sec9p_complex	Sro1p/Sec4p/Sec9p	1
subgroup_94	Sum1p/Rfm1p/Hst1p_complex	Sum1p/Rfm1p/Hst1p	1
subgroup_95	Sur1p/Csg2p_complex	Sur1p/Csg2p	1
subgroup_96	Swr1p_complex	Swr1p	2
subgroup_97	Synaptonemal_complex_(SC)	Synaptonemal_complex_(SC)	1
subgroup_98	THO_complex	THO	3
subgroup_99	Tim8p/Tim13p_complex	Tim8p/Tim13p	1
subgroup_100	Tof1p/Mrc1p/Csm3p_complex	Tof1p/Mrc1p/Csm3p	5
subgroup_101	U2_snRNP_complex	U2_snRNP	1
subgroup_102	U4/U6_x_U5_tri-snRNP_complex	U4/U6_x_U5_tri-snRNP	1
subgroup_103	Uba2p/Aos1p_complex	Uba2p/Aos1p	1
subgroup_104	Vam3p/Vam7_vacuolar_tSNARE_complex	Vam3p/Vam7_vacuolar_tSNARE	5
subgroup_105	adenylyl_cyclase_complex	adenylyl_cyclase	2
subgroup_106	alpha_DNA_polymerase:primase_complex	alpha_DNA_pol:primase	5
subgroup_107	anaphase-promoting_complex	ACP	8
subgroup_108	chromatin_accessibility_complex	chromatin_accessibility	2
subgroup_109	chromatin_assembly_complex	chromatin_assembly	1
subgroup_110	cohesin_loading_factor_complex	cohesin_loading_factor	2
subgroup_111	cytoplasmic_ribosomal_large_subunit	cytoplasmic_RLS	2
subgroup_112	cytoplasmic_ribosomal_small_subunit	cytoplasmic_RSS	1
subgroup_113	degradosome	degradosome	1
subgroup_114	dynactin_complex	dynactin	1
subgroup_115	i-AAA_complex	i-AAA	4
subgroup_116	karyopherin_docking_subcomplex_of_the_Nuclear_Pore_Complex_(NPC)	karyopherin_docking_NPC	2
subgroup_117	m-AAA_complex	m-AAA	3
subgroup_118	mRNA_cleavage_and_polyadenylation_specificity_factor_complex	mRNA_cleavage_polyA_specificity	3
subgroup_119	methionyl_glutamyl_tRNA_synthetase_complex	meth_glut_tRNA_synthetase	1
subgroup_120	mitochondrial_inner_membrane_presequence_translocase_complex	mito_inner_membrane_presequence_translocase	4
subgroup_121	mitochondrial_inner_membrane_protein_insertion_complex	mito_inner_membrane_protein_insertion	3
subgroup_122	mitochondrial_intermembrane_space_protein_transporter_complex	mito_intermembrane_space_protein_transporter	2
subgroup_123	mitochondrial_oxoglutarate_dehydrogenase_complex	mito_oxoglutarate_dehydrogenase	1
subgroup_124	mitochondrial_ribosomal_large_subunit	mito_RLS	1
subgroup_125	mitotic_checkpoint_complex	mitotic_checkpoint	3
subgroup_126	nuclear_cohesin_complex	nuclear_cohesin	1
subgroup_127	nucleotide-excision_repair_factor_1_complex	nt-excision_repair_1	4
subgroup_128	nucleotide-excision_repair_factor_3_complex	nt-excision_repair_3	1
subgroup_129	other_DNA_repair_complexes	other_DNA_repair	1
subgroup_130	phosphatidylinositol_(PtdIns)_3-kinase_complex_(functions_in_CPY_sorting)	PtdIns_3-kinase_CPY_sorting	1
subgroup_131	phosphatidylinositol_(PtdIns)_3-kinase_complex_(functions_in_autophagy)	PtdIns_3-kinase_autophagy	3
subgroup_132	prefoldin_complex	prefoldin	4
subgroup_133	prohibitin_complex	prohibitin	2
subgroup_134	retromer_complex	retromer	2
subgroup_135	smc5p-Smc6p_complex	smc5p-Smc6p	4
subgroup_136	transcription_export_complex	transcription_export	1
subgroup_137	transcription_factor_TFIID_complex	TF_TFIID	2
subgroup_138	ubiquitin_ligase_ERAD-L_complex	ub_ligase_ERAD-L	1
