orf	name	type	betw	regulation
Dop1p/Mon2p	Dop1p/Mon2p	C	0.00246	NA
Dsl1p	Dsl1p	C	0.01073	NA
EGO	EGO	C	0.0	NA
EKC/KEOPS_protein	EKC/KEOPS_protein	C	0.00437	NA
ER_V-ATPase_assembly	ER_V-ATPase_assembly	C	0.00049	NA
ESCRT_III	ESCRT_III	C	0.04238	NA
ESCRT_II	ESCRT_II	C	0.0	NA
ESCRT_I	ESCRT_I	C	0.0	NA
Ela1p/Elc1p	Ela1p/Elc1p	C	0.00049	NA
Elongator	Elongator	C	0.00037	NA
Erv41p/Erv46p	Erv41p/Erv46p	C	0.01269	NA
Esp1p/Pds1p	Esp1p/Pds1p	C	0.00033	NA
Exocyst	Exocyst	C	0.00113	NA
F0/F1_ATP_synthase	F0/F1_ATP_synthase	C	0.00062	NA
FBP_degradation	FBP_degradation	C	0.00022	NA
factor_arrest_complex	factor_arrest_complex	C	0.01077	NA
Fatty_Acid_Import	Fatty_Acid_Import	C	1e-05	NA
Fig4p/Vac14p	Fig4p/Vac14p	C	0.00088	NA
Fth1p/Fet5p	Fth1p/Fet5p	C	0.00534	NA
GAL4p/GAL80p	GAL4p/GAL80p	C	9e-05	NA
GARP	GARP	C	0.0	NA
GCR	GCR	C	0.03367	NA
GET	GET	C	0.00025	NA
GPI-anchor_transamidase	GPI-anchor_transamidase	C	0.0007	NA
GSH_degradosomal	GSH_degradosomal	C	0.00019	NA
GGTase_II	GGTase_II	C	0.01012	NA
Golgi_transport	Golgi_transport	C	0.0	NA
Grh1p/Bug1p	Grh1p/Bug1p	C	0.01289	NA
Gyl1p/Gyp5p	Gyl1p/Gyp5p	C	0.0	NA
H+-transporting_ATPase,_vacuolar	H+-transporting_ATPase,_vacuolar	C	0.08604	NA
HAT-B	HAT-B	C	0.04812	NA
HIR	HIR	C	0.01254	NA
Hym1p/Kic1p/Sog2p	Hym1p/Kic1p/Sog2p	C	0.00397	NA
Ino2p/Ino4p	Ino2p/Ino4p	C	0.00668	NA
Ino80p	Ino80p	C	0.00236	NA
Isocitrate_dehydrogenase	Isocitrate_dehydrogenase	C	0.00352	NA
Kornberg's_mediator	Kornberg's_mediator	C	0.00025	NA
Ku	Ku	C	0.00025	NA
LMA1	LMA1	C	0.00787	NA
Lge1p/Bre1p	Lge1p/Bre1p	C	0.00197	NA
MBF	MBF	C	0.0177	NA
MRX	MRX	C	0.00571	NA
MSH2p/MSH3p	MSH2p/MSH3p	C	0.0	NA
MSH2p/MSH6p	MSH2p/MSH6p	C	0.01458	NA
Mdm12p/Mmm1p/Mdm10p	Mdm12p/Mmm1p/Mdm10p	C	8e-05	NA
Mgm1p/Ugo1p/Fzo1p	Mgm1p/Ugo1p/Fzo1p	C	0.00586	NA
Mks1p/Rtg2p	Mks1p/Rtg2p	C	8e-05	NA
Mob1p/Dbf2p	Mob1p/Dbf2p	C	0.0	NA
Mob2p/Cbk1p	Mob2p/Cbk1p	C	2e-05	NA
Mps2p/Bbp1p	Mps2p/Bbp1p	C	0.0	NA
Mst27p/Mst28p	Mst27p/Mst28p	C	0.01093	NA
Mtr2p/Mex67p	Mtr2p/Mex67p	C	0.01438	NA
NC2	NC2	C	0.00188	NA
NatA	NatA	C	0.00747	NA
NatB	NatB	C	0.01046	NA
Nem1p/Spo7p	Nem1p/Spo7p	C	0.03577	NA
Nfs1p/Isd11p	Nfs1p/Isd11p	C	0.004	NA
Npa2p-containing_subcomplex	Npa2p-containing_subcomplex	C	0.01309	NA
NuA3_histone_acetyltransferase	NuA3_histone_acetyltransferase	C	0.00479	NA
NuA4_histone_acetyltransferase	NuA4_histone_acetyltransferase	C	0.0005	NA
Nuclear_exosome	Nuclear_exosome	C	0.00026	NA
Nup82_NPC_subcomplex	Nup82_NPC_subcomplex	C	0.0	NA
Nup84p	Nup84p	C	0.0064	NA
OCA	OCA	C	0.00187	NA
PAM	PAM	C	0.0003	NA
PAN	PAN	C	0.0012	NA
Permease-Oxidase	Permease-Oxidase	C	1e-05	NA
Phenylalaninine-tRNA-ligase	Phenylalaninine-tRNA-ligase	C	0.00302	NA
Pho85p/Pcl10p	Pho85p/Pcl10p	C	0.0	NA
Pho85p/Pcl1p	Pho85p/Pcl1p	C	0.00126	NA
Pho85p/Pho80p	Pho85p/Pho80p	C	0.00732	NA
Polzeta-Rev1p	Polzeta-Rev1p	C	0.00045	NA
Pmt1p/Pmt2p	Pmt1p/Pmt2p	C	0.00664	NA
Pmt3p/Pmt5p	Pmt3p/Pmt5p	C	0.00226	NA
Prp19-associated	Prp19-associated	C	0.00465	NA
Prp9p/Prp11p/Prp21p_complex(SF3a)	Prp9p/Prp11p/Prp21p_complex(SF3a)	C	0.0023	NA
Psr1p/Whi2p	Psr1p/Whi2p	C	0.004	NA
Pxa1p/Pxa2p	Pxa1p/Pxa2p	C	0.00267	NA
Q-biosynthetic_Coq_polypeptide	Q-biosynthetic_Coq_polypeptide	C	0.00229	NA
RAVE	RAVE	C	0.00135	NA
RES	RES	C	0.00176	NA
RNA_Degradation	RNA_Degradation	C	0.00234	NA
RNA_pol_I_transcription_factor	RNA_pol_I_transcription_factor	C	0.00078	NA
RNA_pol_I_upstream_activating_factor	RNA_pol_I_upstream_activating_factor	C	0.0027	NA
RSC	RSC	C	0.00299	NA
Rad17p/Ddc1p/Mec3p	Rad17p/Ddc1p/Mec3p	C	0.06428	NA
Rad6p/Rad18p	Rad6p/Rad18p	C	0.00347	NA
Rot2p/Gtb1p	Rot2p/Gtb1p	C	0.02893	NA
Rpd3L	Rpd3L	C	0.0	NA
Rpd3S	Rpd3S	C	0.0212	NA
Rsp5p/Bul1	Rsp5p/Bul1	C	0.0	NA
Rtg1p/Rtg3p	Rtg1p/Rtg3p	C	0.0	NA
SAGA_complex	SAGA_complex	C	0.0058	NA
SCF-CDC4	SCF-CDC4	C	0.0	NA
SNARE	SNARE	C	0.00151	NA
SPB	SPB	C	0.00626	NA
SWI/SNF	SWI/SNF	C	0.00082	NA
Sap155p/Sit4p	Sap155p/Sit4p	C	0.00198	NA
Sap190p/Sit4p	Sap190p/Sit4p	C	0.00075	NA
Sds22p/Glc7p	Sds22p/Glc7p	C	0.03156	NA
Set3p	Set3p	C	0.0	NA
Sfb3p/Sec23p	Sfb3p/Sec23p	C	0.00427	NA
Shq1p/Naf1p	Shq1p/Naf1p	C	0.00013	NA
SRP	SRP	C	0.00053	NA
Ski	Ski	C	4e-05	NA
Sko1p/Cyc8p/Tup1_repressor	Sko1p/Cyc8p/Tup1_repressor	C	0.0	NA
Sli15p/Bir1p	Sli15p/Bir1p	C	0.00852	NA
Slx1p/Slx4p	Slx1p/Slx4p	C	0.00229	NA
Slx5p/Slx8p	Slx5p/Slx8p	C	0.0	NA
Snf1p/Snf4p/Gal83p	Snf1p/Snf4p/Gal83p	C	0.00018	NA
Snf1p/Snf4p/Sip1p	Snf1p/Snf4p/Sip1p	C	2e-05	NA
Snf1p/Snf4p/Sip2p	Snf1p/Snf4p/Sip2p	C	3e-05	NA
Sod1p/Ccs1p	Sod1p/Ccs1p	C	0.00036	NA
Sro1p/Sec4p/Sec9p	Sro1p/Sec4p/Sec9p	C	0.01683	NA
Ssh1p_translocon	Ssh1p_translocon	C	0.00011	NA
Succinate_dehydrogenase	Succinate_dehydrogenase	C	0.0	NA
Sum1p/Rfm1p/Hst1p	Sum1p/Rfm1p/Hst1p	C	0.00014	NA
Sur1p/Csg2p	Sur1p/Csg2p	C	0.0	NA
Swh1p/Nvj1p	Swh1p/Nvj1p	C	0.0	NA
Swr1p	Swr1p	C	0.00017	NA
Synaptonemal_complex_(SC)	Synaptonemal_complex_(SC)	C	0.0	NA
THO	THO	C	0.0	NA
TORC_2	TORC_2	C	0.0	NA
TRAMP_complex_(Air1p)	TRAMP_complex_(Air1p)	C	0.0	NA
TRAMP_complex_(Air2p)	TRAMP_complex_(Air2p)	C	0.0	NA
TRAPP	TRAPP	C	0.0	NA
Tap42p/Sit4p/Rrd1p	Tap42p/Sit4p/Rrd1p	C	0.00099	NA
Tim8p/Tim13p	Tim8p/Tim13p	C	0.00232	NA
U2_snRNP	U2_snRNP	C	0.01998	NA
U4/U6_x_U5_tri-snRNP	U4/U6_x_U5_tri-snRNP	C	0.00418	NA
U5_snRNP	U5_snRNP	C	0.04292	NA
U6_snRNP	U6_snRNP	C	0.00461	NA
UTP_A	UTP_A	C	0.00058	NA
UTP_B	UTP_B	C	0.0002	NA
Ula1p/Uba3p	Ula1p/Uba3p	C	0.00259	NA
Ume6p/Ime1p	Ume6p/Ime1p	C	0.00342	NA
VTC_heterotetrameric	VTC_heterotetrameric	C	0.0	NA
YAL008W	FUN14	S	0.0	0.632
YAL015C	NTG1	S	0.0	0.434
YAL018C	LDS1	S	0.0307	0.732
YAL029C	MYO4	S	0.00489	0.605
YAL036C	RBG1	S	0.00185	0.796
YAL044W-A	YAL044W-A	S	0.0001	NA
YAL046C	AIM1	S	0.0	0.568
YAL048C	GEM1	S	0.00043	0.54
YAL053W	FLC2	S	0.00699	0.47
YAL056W	GPB2	S	0.00853	0.541
YAL058W	CNE1	S	0.01337	0.658
YAL059W	ECM1	S	0.01027	0.838
YAR010C	YAR010C	S	0.00033	0.67
YAR028W	YAR028W	S	0.0	0.566
YAR031W	PRM9	S	0.0	0.424
YAR066W	YAR066W	S	0.00085	1.109
YBL009W	ALK2	S	0.00016	0.726
YBL011W	SCT1	S	0.01082	0.382
YBL015W	ACH1	S	0.00119	1.503
YBL020W	RFT1	S	0.0	0.494
YBL022C	PIM1	S	2e-05	0.57
YBL024W	NCL1	S	0.0	1.176
YBL029W	YBL029W	S	0.01842	0.713
YBL034C	STU1	S	0.00079	0.499
YBL036C	YBL036C	S	0.0	0.453
YBL051C	PIN4	S	0.00073	0.468
YBL054W	TOD6	S	0.0066	1.165
YBL056W	PTC3	S	0.00615	0.51
YBL064C	PRX1	S	0.01531	1.789
YBL081W	YBL081W	S	0.0	0.473
YBL088C	TEL1	S	0.00627	0.601
YBL091C-A	SCS22	S	0.00359	NA
YBL095W	YBL095W	S	0.00381	0.639
YBL101C	ECM21	S	0.01045	0.541
YBR002C	RER2	S	0.00262	0.447
YBR004C	GPI18	S	0.00038	0.552
YBR018C	GAL7	S	0.00409	1.709
YBR024W	SCO2	S	0.01005	0.558
YBR029C	CDS1	S	0.00234	0.547
YBR035C	PDX3	S	0.00016	0.584
YBR037C	SCO1	S	0.00736	0.783
YBR044C	TCM62	S	0.00117	0.478
YBR046C	ZTA1	S	0.01733	1.103
YBR049C	REB1	S	0.0	0.389
YBR052C	RFS1	S	0.0	0.984
YBR054W	YRO2	S	0.0	1.367
YBR058C	UBP14	S	0.00042	0.365
YBR058C-A	TSC3	S	0.00495	NA
YBR065C	ECM2	S	0.00194	0.545
YBR068C	BAP2	S	0.0	0.98
YBR078W	ECM33	S	0.0	0.732
YBR083W	TEC1	S	0.0	0.722
YBR085W	AAC3	S	0.0	0.63
YBR086C	IST2	S	0.02896	0.513
YBR094W	PBY1	S	0.0082	0.377
YBR096W	YBR096W	S	0.00226	0.822
YBR101C	FES1	S	0.0	0.875
YBR108W	AIM3	S	0.00066	0.46
YBR110W	ALG1	S	0.0035	0.471
YBR117C	TKL2	S	0.0	1.387
YBR121C	GRS1	S	0.0106	1.188
YBR125C	PTC4	S	0.00294	0.32
YBR130C	SHE3	S	0.0	0.534
YBR138C	YBR138C	S	0.0	0.55
YBR139W	YBR139W	S	0.0	1.108
YBR140C	IRA1	S	7e-05	0.306
YBR155W	CNS1	S	0.00739	0.909
YBR158W	AMN1	S	0.00816	0.732
YBR166C	TYR1	S	0.00131	0.523
YBR169C	SSE2	S	0.00072	1.518
YBR172C	SMY2	S	0.00091	0.662
YBR173C	UMP1	S	0.0015	0.518
YBR177C	EHT1	S	0.01411	0.66
YBR182C	SMP1	S	0.00344	0.856
YBR185C	MBA1	S	0.01798	0.576
YBR186W	PCH2	S	0.01134	0.587
YBR187W	GDT1	S	0.00464	0.868
YBR205W	KTR3	S	0.0	0.574
YBR212W	NGR1	S	0.00516	0.942
YBR216C	YBP1	S	0.0	0.368
YBR218C	PYC2	S	0.00033	0.443
YBR225W	YBR225W	S	0.00222	0.611
YBR227C	MCX1	S	0.00428	0.424
YBR230C	OM14	S	0.00691	1.513
YBR233W	PBP2	S	0.00888	0.465
YBR235W	VHC1	S	0.0	0.476
YBR236C	ABD1	S	0.00113	0.378
YBR237W	PRP5	S	0.00051	0.583
YBR246W	RRT2	S	0.00117	0.467
YBR255C-A	YBR255C-A	S	0.0	NA
YBR255W	MTC4	S	0.00728	0.558
YBR259W	YBR259W	S	0.0	0.404
YBR260C	RGD1	S	0.0094	0.345
YBR262C	MIC12	S	0.008	0.472
YBR264C	YPT10	S	0.004	0.418
YBR267W	REI1	S	0.0	1.002
YBR270C	BIT2	S	0.0	0.624
YBR273C	UBX7	S	0.0	0.534
YBR290W	BSD2	S	0.00266	0.636
YBR293W	VBA2	S	0.00029	0.409
YBR295W	PCA1	S	0.0	0.646
YBR296C	PHO89	S	0.00036	1.888
YBR296C-A	YBR296C-A	S	0.00232	NA
YBR298C	MAL31	S	0.00112	1.006
YCL001W	RER1	S	0.00913	0.736
YCL005W-A	VMA9	S	0.00219	NA
YCL025C	AGP1	S	0.0001	1.136
YCL043C	PDI1	S	0.00184	0.752
YCL045C	EMC1	S	0.0016	0.7
YCL051W	LRE1	S	0.00262	0.446
YCL052C	PBN1	S	0.00276	0.532
YCL055W	KAR4	S	0.01129	0.56
YCL057C-A	MIC10	S	0.00055	NA
YCR005C	CIT2	S	0.0008	1.436
YCR007C	YCR007C	S	0.0	0.815
YCR021C	HSP30	S	0.00209	1.866
YCR037C	PHO87	S	0.00087	0.534
YCR039C	MATALPHA2	S	4e-05	0.575
YCR040W	MATALPHA1	S	0.0	0.546
YCR043C	YCR043C	S	0.00014	0.746
YCR047C	BUD23	S	0.00081	0.64
YCR048W	ARE1	S	0.00068	0.509
YCR053W	THR4	S	0.0	0.82
YCR060W	TAH1	S	0.00286	0.514
YCR061W	YCR061W	S	0.00476	0.91
YCR063W	BUD31	S	0.00181	0.586
YCR065W	HCM1	S	0.00216	0.541
YCR067C	SED4	S	0.00419	0.401
YCR068W	ATG15	S	0.00685	0.645
YCR073C	SSK22	S	0.00803	0.626
YCR073W-A	SOL2	S	0.00837	NA
YCR075C	ERS1	S	0.0116	0.526
YCR075W-A	YCR075W-A	S	0.00017	NA
YCR076C	FUB1	S	0.0	0.545
YCR079W	PTC6	S	0.0	0.602
YCR087C-A	YCR087C-A	S	0.0	NA
YCR091W	KIN82	S	0.0021	1.067
YCR099C	YCR099C	S	0.00817	0.571
YCR101C	YCR101C	S	0.00358	0.575
YCR106W	RDS1	S	0.00078	0.537
YDL001W	RMD1	S	0.02008	0.589
YDL012C	YDL012C	S	0.00019	0.346
YDL020C	RPN4	S	0.01464	0.903
YDL021W	GPM2	S	0.00228	1.741
YDL035C	GPR1	S	0.00866	0.602
YDL039C	PRM7	S	0.00386	1.0
YDL052C	SLC1	S	0.0116	0.575
YDL054C	MCH1	S	0.00039	0.474
YDL057W	YDL057W	S	3e-05	0.548
YDL059C	RAD59	S	0.00061	0.676
YDL070W	BDF2	S	0.0009	0.498
YDL073W	YDL073W	S	0.0	0.463
YDL085W	NDE2	S	0.00357	1.472
YDL106C	PHO2	S	0.0	0.607
YDL112W	TRM3	S	0.0	0.735
YDL115C	IWR1	S	0.0	0.628
YDL120W	YFH1	S	0.0	0.528
YDL122W	UBP1	S	0.00316	0.651
YDL128W	VCX1	S	0.0247	0.449
YDL137W	ARF2	S	0.0004	0.459
YDL144C	YDL144C	S	0.00546	0.401
YDL161W	ENT1	S	0.00564	0.42
YDL167C	NRP1	S	0.0	1.072
YDL169C	UGX2	S	0.0	1.254
YDL171C	GLT1	S	0.0053	0.633
YDL180W	YDL180W	S	0.00028	0.523
YDL182W	LYS20	S	0.00509	1.029
YDL186W	YDL186W	S	0.00276	0.617
YDL190C	UFD2	S	0.0	0.368
YDL193W	NUS1	S	0.0	0.592
YDL194W	SNF3	S	0.0	0.883
YDL198C	GGC1	S	0.0022	0.679
YDL199C	YDL199C	S	0.00209	1.184
YDL200C	MGT1	S	0.00536	0.687
YDL203C	ACK1	S	0.01166	0.399
YDL214C	PRR2	S	0.0023	1.255
YDL215C	GDH2	S	0.00022	0.879
YDL218W	YDL218W	S	0.0	1.029
YDL223C	HBT1	S	0.0	1.299
YDL224C	WHI4	S	0.02321	0.345
YDL225W	SHS1	S	0.0035	0.507
YDL233W	MFG1	S	0.00672	0.605
YDL248W	COS7	S	0.0082	0.466
YDR005C	MAF1	S	0.01956	0.476
YDR006C	SOK1	S	0.00133	0.517
YDR007W	TRP1	S	0.00293	0.4
YDR011W	SNQ2	S	0.00901	0.541
YDR017C	KCS1	S	0.0	0.465
YDR021W	FAL1	S	0.00104	0.744
YDR022C	ATG31	S	0.00114	0.747
YDR026C	NSI1	S	0.00226	0.385
YDR033W	MRH1	S	0.00522	0.914
YDR036C	EHD3	S	0.00071	0.445
YDR043C	NRG1	S	0.00036	0.916
YDR044W	HEM13	S	0.00108	0.631
YDR049W	VMS1	S	0.00014	0.418
YDR051C	DET1	S	0.0	0.409
YDR059C	UBC5	S	0.0	0.986
YDR063W	AIM7	S	0.003	0.535
YDR068W	DOS2	S	0.0034	0.478
YDR069C	DOA4	S	0.02143	0.653
YDR071C	PAA1	S	0.00534	0.717
YDR077W	SED1	S	0.00334	1.189
YDR084C	TVP23	S	0.00131	0.421
YDR085C	AFR1	S	0.00793	1.113
YDR088C	SLU7	S	0.0	0.428
YDR093W	DNF2	S	0.0012	0.314
YDR096W	GIS1	S	0.0	1.128
YDR098C	GRX3	S	0.0	0.657
YDR105C	TMS1	S	0.00056	0.54
YDR110W	FOB1	S	0.01016	0.46
YDR111C	ALT2	S	0.00044	1.045
YDR119W-A	COX26	S	0.02053	NA
YDR132C	YDR132C	S	0.02574	0.871
YDR139C	RUB1	S	0.0	0.456
YDR142C	PEX7	S	0.00277	0.505
YDR161W	YDR161W	S	0.00146	1.067
YDR163W	CWC15	S	0.00109	0.434
YDR168W	CDC37	S	0.0	0.455
YDR169C	STB3	S	0.00449	0.551
YDR179W-A	YDR179W-A	S	6e-05	0.558
YDR184C	ATC1	S	0.00335	1.051
YDR185C	UPS3	S	0.0	0.534
YDR206W	EBS1	S	0.00097	0.597
YDR216W	ADR1	S	0.01194	0.678
YDR219C	MFB1	S	8e-05	0.626
YDR226W	ADK1	S	0.00209	0.881
YDR232W	HEM1	S	0.00023	0.651
YDR236C	FMN1	S	0.0	0.499
YDR239C	YDR239C	S	0.01909	0.314
YDR256C	CTA1	S	0.0	1.467
YDR259C	YAP6	S	0.00041	0.646
YDR263C	DIN7	S	0.00499	0.6
YDR267C	CIA1	S	0.0	0.478
YDR272W	GLO2	S	0.00424	0.718
YDR273W	DON1	S	0.00424	0.752
YDR276C	PMP3	S	0.0	0.564
YDR277C	MTH1	S	0.00249	1.267
YDR284C	DPP1	S	0.0	0.512
YDR291W	HRQ1	S	0.00318	0.368
YDR296W	MHR1	S	0.00156	0.354
YDR297W	SUR2	S	0.0	0.641
YDR302W	GPI11	S	0.00105	0.388
YDR306C	YDR306C	S	0.00236	0.575
YDR307W	PMT7	S	0.00805	0.461
YDR309C	GIC2	S	0.01336	0.967
YDR315C	IPK1	S	0.00171	0.494
YDR316W	OMS1	S	0.00155	0.478
YDR319C	YFT2	S	0.0	0.453
YDR339C	FCF1	S	0.0	0.661
YDR342C	HXT7	S	0.00048	1.483
YDR343C	HXT6	S	0.00024	1.441
YDR346C	SVF1	S	0.00645	0.743
YDR352W	YPQ2	S	0.00021	0.403
YDR354W	TRP4	S	0.01996	0.521
YDR358W	GGA1	S	0.0188	0.991
YDR361C	BCP1	S	0.04837	1.053
YDR364C	CDC40	S	0.00702	0.396
YDR374C	PHO92	S	0.00071	0.788
YDR380W	ARO10	S	0.0003	1.671
YDR383C	NKP1	S	0.00954	0.458
YDR389W	SAC7	S	0.01099	0.343
YDR393W	SHE9	S	0.01192	0.428
YDR395W	SXM1	S	0.00025	0.834
YDR398W	UTP5	S	0.0	1.244
YDR406W	PDR15	S	0.0076	0.666
YDR408C	ADE8	S	0.0	0.797
YDR411C	DFM1	S	0.0	0.461
YDR419W	RAD30	S	0.0	0.47
YDR420W	HKR1	S	0.00646	0.439
YDR430C	CYM1	S	0.01451	1.292
YDR436W	PPZ2	S	0.0005	0.722
YDR440W	DOT1	S	0.00352	0.466
YDR456W	NHX1	S	0.00851	0.492
YDR458C	HEH2	S	0.00824	0.39
YDR459C	PFA5	S	0.00328	0.374
YDR463W	STP1	S	0.00026	0.417
YDR464W	SPP41	S	0.00063	0.4
YDR466W	PKH3	S	6e-05	0.456
YDR482C	CWC21	S	0.00512	0.381
YDR486C	VPS60	S	0.02682	0.407
YDR490C	PKH1	S	0.00854	0.441
YDR493W	MZM1	S	0.0	0.437
YDR494W	RSM28	S	0.00194	0.518
YDR497C	ITR1	S	0.0	0.697
YDR501W	PLM2	S	0.00115	0.504
YDR502C	SAM2	S	0.0161	0.941
YDR508C	GNP1	S	0.00137	1.263
YDR519W	FPR2	S	0.0	0.544
YDR524C	AGE1	S	0.00977	0.524
YDR536W	STL1	S	0.00024	1.537
YDR541C	YDR541C	S	0.00202	0.558
YEL012W	UBC8	S	0.00777	1.238
YEL017C-A	PMP2	S	0.0004	0.518
YEL025C	YEL025C	S	0.01071	0.43
YEL030W	ECM10	S	7e-05	0.686
YEL031W	SPF1	S	0.00023	0.495
YEL039C	CYC7	S	8e-05	1.087
YEL040W	UTR2	S	4e-05	1.498
YEL041W	YEF1	S	0.00721	0.89
YEL043W	YEL043W	S	0.0	0.413
YEL044W	IES6	S	0.0	0.67
YEL048C	TCA17	S	0.00248	0.66
YEL060C	PRB1	S	0.0	1.224
YEL071W	DLD3	S	0.04809	1.245
YER002W	NOP16	S	0.00862	0.61
YER004W	FMP52	S	0.00088	0.617
YER005W	YND1	S	0.00379	0.37
YER009W	NTF2	S	0.00379	0.721
YER019W	ISC1	S	0.0	0.367
YER026C	CHO1	S	0.01109	0.612
YER028C	MIG3	S	0.00123	0.623
YER032W	FIR1	S	0.00224	0.501
YER035W	EDC2	S	0.0	0.861
YER040W	GLN3	S	0.00239	0.436
YER043C	SAH1	S	0.0	1.275
YER044C	ERG28	S	0.00011	0.597
YER045C	ACA1	S	0.00241	0.738
YER052C	HOM3	S	0.0	0.955
YER057C	HMF1	S	0.00122	0.521
YER058W	PET117	S	0.0	0.701
YER059W	PCL6	S	0.00284	0.497
YER060W-A	FCY22	S	0.00203	0.541
YER061C	CEM1	S	0.00151	0.678
YER062C	GPP2	S	0.00242	1.199
YER064C	VHR2	S	0.00448	0.835
YER071C	TDA2	S	0.00105	0.423
YER081W	SER3	S	0.00064	0.909
YER086W	ILV1	S	0.00049	1.068
YER088C	DOT6	S	0.00015	0.827
YER089C	PTC2	S	0.00015	0.488
YER091C	MET6	S	0.0	1.2
YER092W	IES5	S	0.0	0.401
YER098W	UBP9	S	0.0	0.691
YER099C	PRS2	S	0.0001	0.386
YER100W	UBC6	S	0.0001	0.421
YER105C	NUP157	S	2e-05	0.557
YER107C	GLE2	S	0.00595	0.446
YER121W	YER121W	S	0.00601	1.011
YER127W	LCP5	S	0.0022	1.0
YER128W	VFA1	S	0.01566	0.388
YER129W	SAK1	S	0.0	0.477
YER130C	COM2	S	0.0	0.597
YER132C	PMD1	S	0.00251	0.4
YER136W	GDI1	S	0.00894	0.416
YER138C	YER138C	S	0.0	0.761
YER139C	RTR1	S	0.0013	0.613
YER141W	COX15	S	0.00038	0.808
YER143W	DDI1	S	0.0133	0.61
YER144C	UBP5	S	0.00117	0.41
YER153C	PET122	S	0.00467	0.504
YER154W	OXA1	S	0.0	0.344
YER161C	SPT2	S	0.0	0.342
YER174C	GRX4	S	0.00441	0.454
YER179W	DMC1	S	0.00271	0.768
YER182W	FMP10	S	0.00761	0.724
YFL003C	MSH4	S	0.0	0.501
YFL007W	BLM10	S	0.00045	0.439
YFL021W	GAT1	S	0.0006	0.846
YFL025C	BST1	S	0.0025	0.413
YFL028C	CAF16	S	0.0	0.504
YFL029C	CAK1	S	3e-05	0.485
YFL033C	RIM15	S	0.01013	0.39
YFL036W	RPO41	S	0.00045	0.505
YFL045C	SEC53	S	0.0	0.956
YFL047W	RGD2	S	0.0	0.345
YFL053W	DAK2	S	0.0	0.953
YFL054C	YFL054C	S	0.00064	1.117
YFL062W	COS4	S	0.02227	0.559
YFR003C	YPI1	S	0.0	0.628
YFR011C	MIC19	S	0.0	0.699
YFR016C	YFR016C	S	0.02805	0.719
YFR019W	FAB1	S	0.00012	0.528
YFR022W	ROG3	S	0.00047	0.923
YFR041C	ERJ5	S	0.0	0.468
YFR042W	KEG1	S	0.0	0.637
YFR053C	HXK1	S	0.0	1.845
YGL001C	ERG26	S	0.0	0.643
YGL006W	PMC1	S	0.0004	0.654
YGL009C	LEU1	S	0.0086	0.711
YGL012W	ERG4	S	0.0	0.896
YGL013C	PDR1	S	0.0	0.423
YGL016W	KAP122	S	0.0	0.826
